"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"NORTHWEST","All",2020-03-02,1
"SOUTHWEST","All",2020-03-04,1
"SOUTHWEST","All",2020-03-12,3
"EASTERN","All",2020-03-13,5
"NORTHWEST","All",2020-03-15,3
"NORTHWEST","All",2020-03-11,5
"EASTERN","All",2020-03-09,3
"NORTHWEST","All",2020-03-08,1
"SOUTHWEST","All",2020-03-09,1
"NORTHWEST","All",2020-03-18,6
"NORTHWEST","All",2020-03-12,2
"NORTHWEST","All",2020-03-17,6
"SOUTHEAST","All",2020-02-28,1
"CENTRAL","All",2020-03-16,3
"NORTHWEST","All",2020-03-16,6
"EASTERN","All",2020-03-20,20
"SOUTHWEST","All",2020-03-10,2
"SOUTHWEST","All",2020-03-19,3
"EASTERN","All",2020-03-21,9
"NORTHWEST","All",2020-03-14,5
"EASTERN","All",2020-03-16,8
"SOUTHWEST","All",2020-03-15,1
"SOUTHWEST","All",2020-03-18,2
"CENTRAL","All",2020-03-17,2
"EASTERN","All",2020-03-18,13
"EASTERN","All",2020-03-22,16
"EASTERN","All",2020-03-17,3
"NORTHWEST","All",2020-03-04,2
"EASTERN","All",2020-03-08,3
"CENTRAL","All",2020-03-18,1
"EASTERN","All",2020-03-15,7
"EASTERN","All",2020-03-14,5
"NORTHWEST","All",2020-03-13,1
"SOUTHWEST","All",2020-03-20,4
"EASTERN","All",2020-03-23,26
"EASTERN","All",2020-03-19,16
"EASTERN","All",2020-03-06,2
"SOUTHWEST","All",2020-03-17,4
"CENTRAL","All",2020-03-21,3
"EASTERN","All",2020-03-24,20
"NORTHWEST","All",2020-03-24,6
"SOUTHEAST","All",2020-03-22,2
"CENTRAL","All",2020-03-22,2
"EASTERN","All",2020-03-25,24
"NORTHWEST","All",2020-03-20,6
"NORTHWEST","All",2020-03-19,8
"CENTRAL","All",2020-03-02,2
"EASTERN","All",2020-03-26,22
"CENTRAL","All",2020-03-25,2
"NORTHWEST","All",2020-03-22,7
"NORTHWEST","All",2020-03-21,4
"NORTHWEST","All",2020-03-26,8
"EASTERN","All",2020-03-30,19
